baseline_level,merchant,provider,payment_method,country,weekday,hour,attempts,approvals,declines,approval_rate,average_amount,is_reliable
L1_FULL,Merchant_A,dLocal,card,MX,2,10,56,52,4,0.9286,977.36,True
L1_FULL,Merchant_A,dLocal,card,MX,2,11,64,52,12,0.8125,958.8,True
L1_FULL,Merchant_A,dLocal,card,MX,2,12,96,82,14,0.8542,944.13,True
L1_FULL,Merchant_A,dLocal,card,MX,2,13,49,37,12,0.7551,873.26,True
L1_FULL,Merchant_A,dLocal,card,MX,2,14,57,49,8,0.8596,903.55,True
L1_FULL,Merchant_A,dLocal,card,MX,2,15,53,45,8,0.8491,929.31,True
L1_FULL,Merchant_A,dLocal,card,MX,2,16,57,49,8,0.8596,861.52,True
L1_FULL,Merchant_A,dLocal,card,MX,2,17,61,58,3,0.9508,895.15,True
L1_FULL,Merchant_A,dLocal,card,MX,2,18,52,48,4,0.9231,926.04,True
L1_FULL,Merchant_A,dLocal,card,MX,2,19,39,35,4,0.8974,726.92,True
L1_FULL,Merchant_A,dLocal,card,MX,2,20,25,23,2,0.92,956.64,False
L1_FULL,Merchant_A,dLocal,card,MX,2,21,29,25,4,0.8621,866.43,False
L1_FULL,Merchant_A,dLocal,card,MX,2,22,3,3,0,1.0,1539.74,False
L1_FULL,Merchant_A,dLocal,card,MX,2,23,4,4,0,1.0,994.12,False
L1_FULL,Merchant_A,dLocal,card,MX,3,0,5,5,0,1.0,1622.1,False
L1_FULL,Merchant_A,dLocal,card,MX,3,1,1,1,0,1.0,1295.52,False
L1_FULL,Merchant_A,dLocal,card,MX,3,2,2,2,0,1.0,1703.92,False
L1_FULL,Merchant_A,dLocal,card,MX,3,4,3,3,0,1.0,917.31,False
L1_FULL,Merchant_A,dLocal,card,MX,3,5,4,3,1,0.75,1272.66,False
L1_FULL,Merchant_A,dLocal,card,MX,3,6,18,16,2,0.8889,888.1,False
L1_FULL,Merchant_A,dLocal,card,MX,3,7,23,19,4,0.8261,1018.52,False
L1_FULL,Merchant_A,dLocal,card,MX,3,8,43,39,4,0.907,733.37,True
L1_FULL,Merchant_A,dLocal,card,MX,3,9,60,48,12,0.8,1054.05,True
L1_FULL,Merchant_A,dLocal,card,MX,3,10,60,50,10,0.8333,878.14,True
L1_FULL,Merchant_A,dLocal,card,MX,3,11,74,63,11,0.8514,842.58,True
L1_FULL,Merchant_A,dLocal,card,MX,3,12,70,66,4,0.9429,926.61,True
L1_FULL,Merchant_A,dLocal,card,MX,3,13,57,48,9,0.8421,809.85,True
L1_FULL,Merchant_A,dLocal,card,MX,3,14,55,53,2,0.9636,875.84,True
L1_FULL,Merchant_A,dLocal,card,MX,3,15,61,55,6,0.9016,892.23,True
L1_FULL,Merchant_A,dLocal,card,MX,3,16,55,50,5,0.9091,647.27,True
L1_FULL,Merchant_A,dLocal,card,MX,3,17,45,41,4,0.9111,930.17,True
L1_FULL,Merchant_A,dLocal,card,MX,3,18,54,51,3,0.9444,744.57,True
L1_FULL,Merchant_A,dLocal,card,MX,3,19,48,40,8,0.8333,883.31,True
L1_FULL,Merchant_A,dLocal,card,MX,3,20,27,26,1,0.963,1133.42,False
L1_FULL,Merchant_A,dLocal,card,MX,3,21,13,12,1,0.9231,1007.74,False
L1_FULL,Merchant_A,dLocal,card,MX,3,22,14,13,1,0.9286,882.24,False
L1_FULL,Merchant_A,dLocal,card,MX,3,23,5,2,3,0.4,1070.7,False
L1_FULL,Merchant_A,dLocal,card,MX,4,0,11,10,1,0.9091,671.8,False
L1_FULL,Merchant_A,dLocal,card,MX,4,1,4,4,0,1.0,378.24,False
L1_FULL,Merchant_A,dLocal,card,MX,4,2,9,9,0,1.0,1062.47,False
L1_FULL,Merchant_A,dLocal,card,MX,4,3,4,4,0,1.0,1021.4,False
L1_FULL,Merchant_A,dLocal,card,MX,4,4,6,4,2,0.6667,914.83,False
L1_FULL,Merchant_A,dLocal,card,MX,4,5,8,8,0,1.0,1021.8,False
L1_FULL,Merchant_A,dLocal,card,MX,4,6,9,8,1,0.8889,1033.45,False
L1_FULL,Merchant_A,dLocal,card,MX,4,7,29,21,8,0.7241,1065.19,False
L1_FULL,Merchant_A,dLocal,card,MX,4,8,53,48,5,0.9057,1006.01,True
L1_FULL,Merchant_A,dLocal,card,MX,4,9,56,48,8,0.8571,835.02,True
L1_FULL,Merchant_A,dLocal,card,MX,4,10,76,63,13,0.8289,1007.44,True
L1_FULL,Merchant_A,dLocal,card,MX,4,11,67,57,10,0.8507,878.98,True
L1_FULL,Merchant_A,dLocal,card,MX,4,12,95,86,9,0.9053,952.33,True
L1_FULL,Merchant_A,dLocal,card,MX,4,13,73,65,8,0.8904,974.6,True
L1_FULL,Merchant_A,dLocal,card,MX,4,14,65,55,10,0.8462,923.33,True
L1_FULL,Merchant_A,dLocal,card,MX,4,15,58,50,8,0.8621,926.96,True
L1_FULL,Merchant_A,dLocal,card,MX,4,16,53,47,6,0.8868,912.56,True
L1_FULL,Merchant_A,dLocal,card,MX,4,17,64,56,8,0.875,905.54,True
L1_FULL,Merchant_A,dLocal,card,MX,4,18,57,48,9,0.8421,988.41,True
L1_FULL,Merchant_A,dLocal,card,MX,4,19,39,36,3,0.9231,803.89,True
L1_FULL,Merchant_A,dLocal,card,MX,4,20,31,24,7,0.7742,1007.45,True
L1_FULL,Merchant_A,dLocal,card,MX,4,21,14,12,2,0.8571,761.84,False
L1_FULL,Merchant_A,dLocal,card,MX,4,22,11,11,0,1.0,668.9,False
L1_FULL,Merchant_A,dLocal,card,MX,4,23,7,6,1,0.8571,909.32,False
L1_FULL,Merchant_A,dLocal,card,MX,5,0,4,3,1,0.75,782.14,False
L1_FULL,Merchant_A,dLocal,card,MX,5,1,4,3,1,0.75,1332.89,False
L1_FULL,Merchant_A,dLocal,card,MX,5,2,1,1,0,1.0,1185.22,False
L1_FULL,Merchant_A,dLocal,card,MX,5,3,4,4,0,1.0,642.89,False
L1_FULL,Merchant_A,dLocal,card,MX,5,4,4,3,1,0.75,1093.1,False
L1_FULL,Merchant_A,dLocal,card,MX,5,5,2,2,0,1.0,1310.28,False
L1_FULL,Merchant_A,dLocal,card,MX,5,6,16,13,3,0.8125,940.09,False
L1_FULL,Merchant_A,dLocal,card,MX,5,7,29,25,4,0.8621,847.77,False
L1_FULL,Merchant_A,dLocal,card,MX,5,8,40,34,6,0.85,958.21,True
L1_FULL,Merchant_A,dLocal,card,MX,5,9,51,43,8,0.8431,892.61,True
L1_FULL,Merchant_A,dLocal,card,MX,5,10,116,100,16,0.8621,967.88,True
L1_FULL,Merchant_A,dLocal,card,MX,5,11,61,51,10,0.8361,987.72,True
L1_FULL,Merchant_A,dLocal,card,MX,5,12,53,49,4,0.9245,960.92,True
L1_FULL,Merchant_A,dLocal,card,MX,5,13,61,54,7,0.8852,897.16,True
L1_FULL,Merchant_A,dLocal,card,MX,5,14,52,49,3,0.9423,900.04,True
L1_FULL,Merchant_A,dLocal,card,MX,5,15,51,42,9,0.8235,902.3,True
L1_FULL,Merchant_A,dLocal,card,MX,5,16,51,41,10,0.8039,853.35,True
L1_FULL,Merchant_A,dLocal,card,MX,5,17,46,39,7,0.8478,913.02,True
L1_FULL,Merchant_A,dLocal,card,MX,5,18,42,37,5,0.881,1031.88,True
L1_FULL,Merchant_A,dLocal,card,MX,5,19,44,39,5,0.8864,1037.78,True
L1_FULL,Merchant_A,dLocal,card,MX,5,20,36,32,4,0.8889,969.56,True
L1_FULL,Merchant_A,dLocal,card,MX,5,21,20,17,3,0.85,980.02,False
L1_FULL,Merchant_A,dLocal,card,MX,5,22,9,8,1,0.8889,867.45,False
L1_FULL,Merchant_A,dLocal,card,MX,5,23,3,2,1,0.6667,752.89,False
L1_FULL,Merchant_A,dLocal,card,MX,6,0,7,7,0,1.0,869.67,False
L1_FULL,Merchant_A,dLocal,card,MX,6,1,2,2,0,1.0,766.8,False
L1_FULL,Merchant_A,dLocal,card,MX,6,2,3,3,0,1.0,652.41,False
L1_FULL,Merchant_A,dLocal,card,MX,6,3,3,3,0,1.0,935.68,False
L1_FULL,Merchant_A,dLocal,card,MX,6,4,6,5,1,0.8333,1124.08,False
L1_FULL,Merchant_A,dLocal,card,MX,6,5,5,5,0,1.0,1016.08,False
L1_FULL,Merchant_A,dLocal,card,MX,6,6,14,12,2,0.8571,916.27,False
L1_FULL,Merchant_A,dLocal,card,MX,6,7,24,20,4,0.8333,778.11,False
L1_FULL,Merchant_A,dLocal,card,MX,6,8,51,44,7,0.8627,960.47,True
L1_FULL,Merchant_A,dLocal,card,MX,6,9,58,50,8,0.8621,829.21,True
L1_FULL,Merchant_A,dLocal,card,MX,6,10,56,50,6,0.8929,942.12,True
L1_FULL,Merchant_A,dLocal,card,MX,6,11,61,55,6,0.9016,960.67,True
L1_FULL,Merchant_A,dLocal,card,MX,6,12,71,67,4,0.9437,866.98,True
L1_FULL,Merchant_A,dLocal,card,MX,6,13,66,52,14,0.7879,895.33,True
L1_FULL,Merchant_A,dLocal,card,MX,6,14,63,56,7,0.8889,922.72,True
L1_FULL,Merchant_A,dLocal,card,MX,6,15,47,44,3,0.9362,892.23,True
L1_FULL,Merchant_A,dLocal,card,MX,6,16,46,37,9,0.8043,967.18,True
L1_FULL,Merchant_A,dLocal,card,MX,6,17,44,37,7,0.8409,827.98,True
L1_FULL,Merchant_A,dLocal,card,MX,6,18,33,28,5,0.8485,858.15,True
L1_FULL,Merchant_A,dLocal,card,MX,6,19,31,29,2,0.9355,872.5,True
L1_FULL,Merchant_A,dLocal,card,MX,6,20,29,22,7,0.7586,943.21,False
L1_FULL,Merchant_A,dLocal,card,MX,6,21,7,6,1,0.8571,1056.49,False
L1_FULL,Merchant_A,dLocal,card,MX,6,22,9,8,1,0.8889,829.55,False
L1_FULL,Merchant_A,dLocal,card,MX,6,23,3,3,0,1.0,705.91,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,0,9,8,1,0.8889,779.4,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,1,5,4,1,0.8,744.24,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,2,3,2,1,0.6667,761.44,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,3,1,1,0,1.0,533.93,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,4,2,2,0,1.0,890.76,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,5,5,4,1,0.8,1149.57,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,6,10,10,0,1.0,924.15,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,7,27,23,4,0.8519,1052.53,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,8,32,30,2,0.9375,992.06,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,9,51,41,10,0.8039,921.75,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,10,60,50,10,0.8333,946.3,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,11,60,50,10,0.8333,819.19,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,12,69,53,16,0.7681,887.56,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,13,58,50,8,0.8621,970.6,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,14,64,52,12,0.8125,931.23,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,15,65,51,14,0.7846,867.23,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,16,44,38,6,0.8636,932.96,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,17,57,47,10,0.8246,919.31,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,18,46,38,8,0.8261,991.94,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,19,52,40,12,0.7692,954.08,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,20,37,28,9,0.7568,918.3,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,21,17,14,3,0.8235,1001.31,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,22,14,10,4,0.7143,816.22,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,0,23,5,4,1,0.8,1058.18,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,0,8,5,3,0.625,976.09,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,1,4,4,0,1.0,894.49,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,2,1,1,0,1.0,1059.9,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,3,1,1,0,1.0,796.02,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,4,4,4,0,1.0,536.59,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,5,3,3,0,1.0,1154.0,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,6,14,11,3,0.7857,1115.43,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,7,28,25,3,0.8929,1012.4,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,8,35,30,5,0.8571,830.86,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,9,55,43,12,0.7818,919.27,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,10,106,85,21,0.8019,840.46,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,11,68,57,11,0.8382,907.02,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,12,64,57,7,0.8906,910.77,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,13,71,59,12,0.831,824.44,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,14,56,39,17,0.6964,863.62,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,15,63,48,15,0.7619,779.64,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,16,70,61,9,0.8714,897.81,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,17,51,44,7,0.8627,949.24,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,18,45,41,4,0.9111,909.93,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,19,34,26,8,0.7647,911.51,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,20,27,25,2,0.9259,1076.17,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,21,18,13,5,0.7222,1190.77,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,22,12,9,3,0.75,752.7,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,1,23,9,7,2,0.7778,737.1,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,0,8,6,2,0.75,818.66,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,1,2,1,1,0.5,661.66,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,2,6,5,1,0.8333,984.88,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,4,2,2,0,1.0,309.39,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,5,4,3,1,0.75,883.55,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,6,10,9,1,0.9,997.54,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,7,18,14,4,0.7778,1089.03,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,8,29,23,6,0.7931,1125.82,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,9,43,32,11,0.7442,942.8,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,10,65,56,9,0.8615,822.55,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,11,62,55,7,0.8871,997.49,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,12,78,66,12,0.8462,951.59,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,13,70,60,10,0.8571,1001.7,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,14,58,51,7,0.8793,858.52,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,15,68,52,16,0.7647,966.82,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,16,63,52,11,0.8254,935.31,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,17,54,42,12,0.7778,799.15,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,18,46,37,9,0.8043,896.09,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,19,38,32,6,0.8421,967.42,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,20,27,23,4,0.8519,926.86,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,21,21,17,4,0.8095,920.15,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,22,9,7,2,0.7778,865.42,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,2,23,9,9,0,1.0,1024.48,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,0,5,4,1,0.8,935.06,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,1,3,3,0,1.0,1354.91,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,2,5,3,2,0.6,1043.72,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,3,3,3,0,1.0,1158.67,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,4,4,3,1,0.75,952.24,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,5,7,5,2,0.7143,1042.34,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,6,17,15,2,0.8824,1028.55,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,7,27,22,5,0.8148,914.8,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,8,33,29,4,0.8788,979.08,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,9,56,49,7,0.875,848.39,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,10,55,46,9,0.8364,985.37,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,11,66,55,11,0.8333,888.52,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,12,80,72,8,0.9,881.2,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,13,76,66,10,0.8684,810.63,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,14,51,44,7,0.8627,991.99,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,15,61,50,11,0.8197,921.09,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,16,59,47,12,0.7966,979.08,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,17,58,48,10,0.8276,807.65,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,18,37,33,4,0.8919,941.6,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,19,51,45,6,0.8824,895.97,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,20,25,20,5,0.8,847.11,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,21,20,12,8,0.6,780.1,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,22,7,6,1,0.8571,1128.15,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,3,23,7,5,2,0.7143,939.49,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,0,4,4,0,1.0,1239.87,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,1,4,4,0,1.0,1139.43,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,2,3,3,0,1.0,761.82,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,3,3,2,1,0.6667,1391.97,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,4,1,1,0,1.0,1485.74,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,5,7,6,1,0.8571,858.69,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,6,14,10,4,0.7143,795.77,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,7,26,18,8,0.6923,1022.21,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,8,38,34,4,0.8947,997.01,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,9,52,48,4,0.9231,875.44,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,10,63,55,8,0.873,909.01,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,11,83,69,14,0.8313,904.09,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,12,75,65,10,0.8667,868.69,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,13,63,58,5,0.9206,893.38,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,14,61,47,14,0.7705,921.5,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,15,76,63,13,0.8289,896.95,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,16,63,52,11,0.8254,880.81,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,17,56,47,9,0.8393,957.78,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,18,54,44,10,0.8148,1003.1,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,19,46,39,7,0.8478,927.22,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,20,20,17,3,0.85,1100.47,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,21,25,20,5,0.8,754.99,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,22,11,9,2,0.8182,939.33,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,4,23,4,4,0,1.0,745.11,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,0,5,4,1,0.8,919.42,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,1,5,4,1,0.8,1223.85,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,2,1,0,1,0.0,1295.01,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,3,3,3,0,1.0,858.04,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,4,3,2,1,0.6667,1240.33,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,5,5,5,0,1.0,1091.69,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,6,19,17,2,0.8947,722.97,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,7,34,30,4,0.8824,997.48,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,8,36,29,7,0.8056,860.04,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,9,49,38,11,0.7755,994.66,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,10,137,110,27,0.8029,880.31,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,11,54,41,13,0.7593,1052.07,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,12,57,45,12,0.7895,962.92,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,13,54,46,8,0.8519,903.3,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,14,56,49,7,0.875,807.74,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,15,63,57,6,0.9048,924.66,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,16,39,31,8,0.7949,870.91,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,17,42,35,7,0.8333,938.67,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,18,51,44,7,0.8627,979.2,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,19,37,32,5,0.8649,905.09,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,20,22,19,3,0.8636,965.79,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,21,17,14,3,0.8235,718.51,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,22,9,8,1,0.8889,1051.31,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,5,23,8,6,2,0.75,920.72,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,0,4,2,2,0.5,1212.82,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,1,2,2,0,1.0,632.33,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,2,2,2,0,1.0,858.46,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,3,4,4,0,1.0,1058.64,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,5,5,4,1,0.8,829.12,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,6,18,17,1,0.9444,797.59,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,7,27,20,7,0.7407,930.72,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,8,51,42,9,0.8235,750.25,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,9,49,44,5,0.898,835.41,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,10,54,45,9,0.8333,968.39,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,11,71,55,16,0.7746,847.47,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,12,79,66,13,0.8354,936.25,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,13,65,57,8,0.8769,863.25,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,14,63,54,9,0.8571,893.46,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,15,56,45,11,0.8036,859.14,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,16,48,40,8,0.8333,961.49,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,17,48,41,7,0.8542,839.3,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,18,32,28,4,0.875,977.36,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,19,44,41,3,0.9318,844.68,True
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,20,25,19,6,0.76,907.23,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,21,19,18,1,0.9474,807.27,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,22,11,9,2,0.8182,951.09,False
L1_FULL,Merchant_A,dLocal,cash_in_store,MX,6,23,8,7,1,0.875,966.62,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,0,10,10,0,1.0,292.24,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,1,2,2,0,1.0,457.52,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,2,2,1,1,0.5,380.26,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,3,3,3,0,1.0,332.85,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,4,3,3,0,1.0,248.05,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,5,7,6,1,0.8571,293.89,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,6,15,14,1,0.9333,267.64,False
L1_FULL,Merchant_A,dLocal,wallet,BR,0,7,33,31,2,0.9394,288.94,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,8,47,43,4,0.9149,269.11,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,9,43,38,5,0.8837,275.38,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,10,59,57,2,0.9661,277.7,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,11,54,49,5,0.9074,293.04,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,12,72,69,3,0.9583,291.59,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,13,66,63,3,0.9545,306.69,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,14,55,54,1,0.9818,283.24,True
L1_FULL,Merchant_A,dLocal,wallet,BR,0,15,58,54,4,0.931,279.72,True
